评论时间,处理内容,评论者IP归属地,评论内容,用户地理位置,评论者性别
24年07月04日 15:03,这个视频好像被卡住了,来自贵州,这个视频好像被卡住了,北京 东城区,女
24年07月04日 15:02,支持进步抵制赌博,来自天津,支持进步抵制赌博,北京,女
24年07月04日 15:00,哇！这言论……感觉我在听未来,来自安徽,哇！这言论……感觉我在听未来,北京 东城区,女
24年07月04日 15:00,感觉未来的企业竞争就是ai技术的博弈,来自安徽,感觉未来的企业竞争就是ai技术的博弈,北京 东城区,女
24年07月04日 14:59,支持这个观点！科技的发展总是伴随着不确定性,来自云南,支持这个观点！科技的发展总是伴随着不确定性,北京 东城区,女
24年07月04日 14:59,这比喻有点吓人,来自云南,这比喻有点吓人,北京 东城区,女
24年07月04日 14:58,AI技术的发展太快了，令人跟不上脚步,来自安徽,AI技术的发展太快了，令人跟不上脚步,北京 东城区,女
24年07月04日 14:57,感觉未来的投资和风险管控会更加复杂,来自山东,感觉未来的投资和风险管控会更加复杂,北京 东城区,女
24年07月04日 14:54,这说法有点太悲观了吧,来自天津,这说法有点太悲观了吧,北京,女
24年07月04日 14:53,最近总是在看关于ai的东西,来自安徽,最近总是在看关于ai的东西,北京 东城区,女
24年07月04日 14:49,AI的崛起正在改变我们的生活,来自广东,AI的崛起正在改变我们的生活,北京 东城区,女
24年07月04日 14:47,这太专业了为我们解答了孩子心中疑惑,来自江苏,这太专业了为我们解答了孩子心中疑惑,北京 东城区,女
24年07月04日 14:45,感觉未来是ai的时代,来自广东,感觉未来是ai的时代,北京 东城区,女
24年07月04日 14:45,AI现在越来越多的应用范围了 我也要安排起来,来自天津,AI现在越来越多的应用范围了 我也要安排起来,北京,女
24年07月04日 14:44,听说这个论坛有很多专家分享,来自江西,听说这个论坛有很多专家分享,北京 东城区,女
24年07月04日 14:44,想了解一下这个峰会都讲了哪些关于ai的应用,来自安徽,想了解一下这个峰会都讲了哪些关于ai的应用,北京 东城区,女
24年07月04日 14:44,最近身边好多朋友都在聊ai这个话题,来自广东,最近身边好多朋友都在聊ai这个话题,北京 东城区,女
24年07月04日 14:40,我有点担心ai会影响我的工作,来自江西,我有点担心ai会影响我的工作,北京 东城区,女
24年07月04日 14:38,哇！这消息太震撼,来自江苏,哇！这消息太震撼,北京 东城区,女
24年07月04日 14:37,我觉得未来所有的行业都会受到ai的影响,来自云南,我觉得未来所有的行业都会受到ai的影响,北京 东城区,女
24年07月04日 14:35,"这话题可以！<img alt=""[并不简单]"" title=""[并不简单]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/aa/2018new_bingbujiandan_org.png"" />",来自江西,这话题可以！[并不简单],北京 东城区,女
24年07月04日 14:35,担心AI会取代人类的工作，特别是那些需要精湛技艺的岗位,来自辽宁,担心AI会取代人类的工作，特别是那些需要精湛技艺的岗位,北京 东城区,女
24年07月04日 14:34,有没有可能把ai用在电竞领域,来自贵州,有没有可能把ai用在电竞领域,北京 东城区,女
24年07月04日 14:34,这个博主的风格有点不适应,来自安徽,这个博主的风格有点不适应,北京 东城区,女
24年07月04日 14:33,感觉自己的钱包要保不住了,来自江苏,感觉自己的钱包要保不住了,北京 东城区,女
24年07月04日 14:32,听起来好高端,来自安徽,听起来好高端,北京 东城区,女
24年07月04日 14:32,这个话放在国内挺应景,来自江苏,这个话放在国内挺应景,北京 东城区,女
24年07月04日 14:32,这个发言有点太危言耸听了,来自江苏,这个发言有点太危言耸听了,北京 东城区,女
24年07月04日 14:24,看来对于AI的期待值拉满了啊！这可不得仔细研究一下吗？,来自安徽,看来对于AI的期待值拉满了啊！这可不得仔细研究一下吗？,北京 东城区,女
24年07月04日 14:22,感觉AI未来会成为各个领域的基础设施,来自贵州,感觉AI未来会成为各个领域的基础设施,北京 东城区,女
24年07月04日 14:22,哇！我和亿万富翁的思想共鸣,来自四川,哇！我和亿万富翁的思想共鸣,北京 东城区,女
24年07月04日 14:21,为什么是2024啊,来自安徽,为什么是2024啊,北京 东城区,女
24年07月04日 14:20,支持把ai用在合适的地方,来自广东,支持把ai用在合适的地方,北京 东城区,女
24年07月04日 14:17,支持把这种高级会的信息分享一下,来自贵州,支持把这种高级会的信息分享一下,北京 东城区,女
24年07月04日 14:16,感觉未来的竞争会在ai领域,来自广东,感觉未来的竞争会在ai领域,北京 东城区,女
24年07月04日 14:15,这话说得太准了,来自江西,这话说得太准了,北京 东城区,女
24年07月04日 14:13,乔舒亚·雷默的观点也很有意思，值得深思,来自河北,乔舒亚·雷默的观点也很有意思，值得深思,北京 东城区,女
24年07月04日 15:13,这新闻好适合当知识点,来自贵州,这新闻好适合当知识点,北京,女
24年07月04日 15:13,哇！这消息也太及时了吧,来自福建,哇！这消息也太及时了吧,北京 东城区,女
24年07月04日 15:12,如此下去，我只会更加坚定地抵制这家公司的，请问这样的公司如何才能避免倒闭？,来自安徽,如此下去，我只会更加坚定地抵制这家公司的，请问这样的公司如何才能避免倒闭？,北京 东城区,女
24年07月04日 15:11,我的职场救星来了,来自贵州,我的职场救星来了,北京 东城区,女
24年07月04日 15:11,这个法律诉讼会不会影响我们的Xbox Series X的游戏发售呢,来自广东,这个法律诉讼会不会影响我们的Xbox Series X的游戏发售呢,北京 东城区,女
24年07月04日 15:11,这新闻有点远不大清楚具体情况,来自云南,这新闻有点远不大清楚具体情况,北京 东城区,女
24年07月04日 15:07,这么严重的问题还敢继续用，看来是真的不怕被告上法院啊,来自云南,这么严重的问题还敢继续用，看来是真的不怕被告上法院啊,北京 东城区,女
24年07月04日 15:05,哇！这消息跟我有啥关系,来自云南,哇！这消息跟我有啥关系,北京 东城区,女
24年07月04日 15:04,感觉这个赔偿金好少,来自山东,感觉这个赔偿金好少,北京 东城区,女
24年07月04日 15:00,感觉这个新闻更适合发在财经板块,来自辽宁,感觉这个新闻更适合发在财经板块,北京 东城区,女
24年07月04日 14:59,哇！我宝宝生病的时候恨不得能休个几年,来自广东,哇！我宝宝生病的时候恨不得能休个几年,北京 东城区,女
24年07月04日 14:56,请问这个裁决是针对全球员工的还是仅仅限制于北美地区,来自辽宁,请问这个裁决是针对全球员工的还是仅仅限制于北美地区,北京 东城区,女
24年07月04日 14:56,这新闻好适合做算术题,来自江苏,这新闻好适合做算术题,北京 东城区,女
24年07月04日 14:53,我们公司可没这么大方,来自安徽,我们公司可没这么大方,北京,女
24年07月04日 14:53,这个解雇制度真的不合理,来自辽宁,这个解雇制度真的不合理,北京 东城区,女
24年07月04日 14:53,这个新闻怎么传播这么广的呢,来自山东,这个新闻怎么传播这么广的呢,北京 东城区,女
24年07月04日 14:53,太垃圾了！微软怎么这样对待请假的员工呢,来自贵州,太垃圾了！微软怎么这样对待请假的员工呢,北京,女
24年07月04日 14:52,这算是企业社会责任的一部分吧,来自云南,这算是企业社会责任的一部分吧,北京 东城区,女
24年07月04日 14:52,这个新闻让我想起了之前的苹果保姆门事件,来自辽宁,这个新闻让我想起了之前的苹果保姆门事件,北京 东城区,女
24年07月04日 14:51,这个处理结果让我觉得还算公正,来自云南,这个处理结果让我觉得还算公正,北京 东城区,女
24年07月04日 14:51,哇塞 微软真大方,来自江西,哇塞 微软真大方,北京 东城区,女
24年07月04日 14:50,微软还是多用人工智能处理员工福利吧，心累。🧠💔,来自辽宁,微软还是多用人工智能处理员工福利吧，心累。🧠💔,北京 东城区,女
24年07月04日 14:46,工作第一还是家重要,来自广东,工作第一还是家重要,北京 东城区,女
24年07月04日 14:43,这个数额有点惊人了，拒绝接受还能怎么判？,来自广东,这个数额有点惊人了，拒绝接受还能怎么判？,北京 东城区,女
24年07月04日 14:42,哇！这消息好大气,来自云南,哇！这消息好大气,北京 东城区,女
24年07月04日 14:42,请问这个赔偿是针对全球还是仅仅对美国呢,来自云南,请问这个赔偿是针对全球还是仅仅对美国呢,北京 东城区,女
24年07月04日 14:40,工作太忙了好想享受一下照顾家人的时光,来自安徽,工作太忙了好想享受一下照顾家人的时光,北京 东城区,女
24年07月04日 14:37,这个百万美金是用来补偿受害者的还是罚款,来自云南,这个百万美金是用来补偿受害者的还是罚款,北京 东城区,女
24年07月04日 14:36,请问这个罚款是因为之前的黑鹰山庄事件么,来自河北,请问这个罚款是因为之前的黑鹰山庄事件么,北京 东城区,女
24年07月04日 14:35,工作一年了还是不能完全适应职场残酷竞争的氛围,来自贵州,工作一年了还是不能完全适应职场残酷竞争的氛围,北京,女
24年07月04日 14:35,感觉这个新闻和我最近玩的gamehigh game有点关系,来自天津,感觉这个新闻和我最近玩的gamehigh game有点关系,北京,女
24年07月04日 14:35,你们公司有育儿产假之类的么,来自广东,你们公司有育儿产假之类的么,北京 东城区,女
24年07月04日 14:34,这消息对于想要休假的员工来说真是太好了！,来自安徽,这消息对于想要休假的员工来说真是太好了！,北京 东城区,女
24年07月04日 14:32,请问这个罚款是交给我们这些受影响的员工的,来自辽宁,请问这个罚款是交给我们这些受影响的员工的,北京 东城区,女
24年07月04日 14:31,哇！微软这操作看起来好良心,来自山东,哇！微软这操作看起来好良心,北京 东城区,女
24年07月04日 14:31,这个新闻有点出乎我的意料,来自辽宁,这个新闻有点出乎我的意料,北京 东城区,女
24年07月04日 14:30,"这是在歧视中国么<img alt=""[挖鼻]"" title=""[挖鼻]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/9a/2018new_wabi_thumb.png"" />",来自贵州,这是在歧视中国么[挖鼻],北京,女
24年07月04日 14:29,有哪路英雄好汉知道详细情况的,来自江西,有哪路英雄好汉知道详细情况的,北京 东城区,女
24年07月04日 14:28,感觉这个新闻有点超出我的知识范畴了,来自辽宁,感觉这个新闻有点超出我的知识范畴了,北京 东城区,女
24年07月04日 14:25,为什么这种大公司还会做这么不公平的事,来自江西,为什么这种大公司还会做这么不公平的事,北京 东城区,女
24年07月04日 14:23,"这也太他妈离谱了吧！这不得好几亿啊<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自辽宁,这也太他妈离谱了吧！这不得好几亿啊[允悲],北京 东城区,女
24年07月04日 14:23,为什么我要在游戏圈里看到这条新闻,来自江苏,为什么我要在游戏圈里看到这条新闻,北京 东城区,女
24年07月04日 14:22,"如果拒绝，请病假不发钱<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自贵州,如果拒绝，请病假不发钱[doge],北京 东城区,女
24年07月04日 14:21,想知道这个调解案里包括那些具体的条款,来自江西,想知道这个调解案里包括那些具体的条款,北京 东城区,女
24年07月04日 14:19,为什么不去掉这个不公平的规定呢,来自四川,为什么不去掉这个不公平的规定呢,北京,女
24年07月04日 14:18,我们是不是也该出手了？,来自安徽,我们是不是也该出手了？,北京 东城区,女
24年07月04日 14:17,感觉这会让很多职场妈妈受益,来自贵州,感觉这会让很多职场妈妈受益,北京 东城区,女
24年07月04日 14:34,这个新闻太及时了,来自广东,这个新闻太及时了,北京 东城区,女
24年07月04日 11:39,这么先进的AI技术，居然现在才想起来更新？,来自江苏,这么先进的AI技术，居然现在才想起来更新？,北京 东城区,女
24年07月04日 11:39,ChatGPT在MacOS上如果表现良好，那它确实是一款值得关注的AI产品！,来自江西,ChatGPT在MacOS上如果表现良好，那它确实是一款值得关注的AI产品！,北京 东城区,女
24年07月04日 11:31,更新后的ChatGPT有什么新功能吗？,来自江西,更新后的ChatGPT有什么新功能吗？,北京 东城区,女
24年07月04日 11:25,最近OpenAI因为ChatGPT引发了不小的热度,来自广东,最近OpenAI因为ChatGPT引发了不小的热度,北京 东城区,女
24年07月04日 11:21,纯文本存储AI对话？这可真是引人深思了,来自贵州,纯文本存储AI对话？这可真是引人深思了,北京 东城区,女
24年07月04日 11:19,看来ChatGPT已经成为时尚新宠。🕶,来自广东,看来ChatGPT已经成为时尚新宠。🕶,北京 东城区,女
24年07月04日 11:16,纯文本存储，信息安全堪忧。希望OpenAI尽快改善！🤖,来自江西,纯文本存储，信息安全堪忧。希望OpenAI尽快改善！🤖,北京 东城区,女
24年07月04日 11:12,果然是程序员的天赋，MacOS版ChatGPT未来可期！,来自广东,果然是程序员的天赋，MacOS版ChatGPT未来可期！,北京 东城区,女
24年07月04日 11:10,哇！OpenAI终于回应了，期待ChatGPT在MacOS上更好的表现！,来自云南,哇！OpenAI终于回应了，期待ChatGPT在MacOS上更好的表现！,北京 东城区,女
24年07月04日 11:08,听说OpenAI更新了MacOS版的ChatGPT，真是个好消息！,来自河北,听说OpenAI更新了MacOS版的ChatGPT，真是个好消息！,北京 东城区,女
24年07月04日 11:07,人工智能时代还需要解决很多问题，共同努力吧！💪,来自云南,人工智能时代还需要解决很多问题，共同努力吧！💪,北京 东城区,女
24年07月04日 11:06,更新后要赶快试试新版ChatGPT，期待更智能！😎,来自江西,更新后要赶快试试新版ChatGPT，期待更智能！😎,北京 东城区,女
24年07月04日 10:57,用ChatGPT玩游戏也太带劲了吧！🎮期待新版本！,来自江西,用ChatGPT玩游戏也太带劲了吧！🎮期待新版本！,北京 东城区,女
24年07月04日 10:57,我觉得ChatGPT在MacOS上肯定会取得更好的成绩,来自辽宁,我觉得ChatGPT在MacOS上肯定会取得更好的成绩,北京 东城区,女
24年07月04日 10:57,这个游戏化的ChatGPT真的好有趣啊！,来自天津,这个游戏化的ChatGPT真的好有趣啊！,北京,女
24年07月04日 11:15,这个案子应该会对未来的ai作品的版权保护产生深远影响,来自贵州,这个案子应该会对未来的ai作品的版权保护产生深远影响,北京 东城区,女
24年07月04日 11:11,支持正能量艺人！,来自辽宁,支持正能量艺人！,北京 东城区,女
24年07月04日 11:11,这个案件太具代表性啦！,来自江西,这个案件太具代表性啦！,北京 东城区,女
24年07月04日 11:08,这案子如果赢了会影响以后ai作品的版权问题么,来自云南,这案子如果赢了会影响以后ai作品的版权问题么,北京 东城区,女
24年07月04日 11:08,这个案件应该会对未来的ai艺术创作产生深远影响,来自山东,这个案件应该会对未来的ai艺术创作产生深远影响,北京 东城区,女
24年07月04日 11:07,有没有可能和解,来自广东,有没有可能和解,北京 东城区,女
24年07月04日 11:06,支持正主！,来自云南,支持正主！,北京 东城区,女
24年07月04日 11:05,这个案子很有意义,来自广东,这个案子很有意义,北京 东城区,女
24年07月04日 11:04,"最近在追这部剧呢<img alt=""[哈哈]"" title=""[哈哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8f/2018new_haha_org.png"" />",来自四川,最近在追这部剧呢[哈哈],北京 东城区,女
24年07月04日 11:02,请问这个ai制作的视频能复制给我一份嘛,来自广东,请问这个ai制作的视频能复制给我一份嘛,北京 东城区,女
24年07月04日 11:02,有没有可能不判被告胜,来自江西,有没有可能不判被告胜,北京 东城区,女
24年07月04日 11:01,这案子要是赢了的话以后ai作品的版权应该会更受重视吧,来自云南,这案子要是赢了的话以后ai作品的版权应该会更受重视吧,北京 东城区,女
24年07月04日 10:55,支持正版,来自安徽,支持正版,北京 东城区,女
24年07月04日 10:55,支持陈坤！希望可以让那些盗版者有所顾忌,来自云南,支持陈坤！希望可以让那些盗版者有所顾忌,北京 东城区,女
24年07月04日 10:53,这案子会怎么判呢,来自云南,这案子会怎么判呢,北京 东城区,女
24年07月04日 10:53,这个案子可能会推动ai领域的立法进步,来自山东,这个案子可能会推动ai领域的立法进步,北京 东城区,女
24年07月04日 10:53,这个案例会推动我国数字艺术创作的保护进步吧,来自贵州,这个案例会推动我国数字艺术创作的保护进步吧,北京 东城区,女
24年07月04日 10:49,文刻创作居然敢抄袭，期待《山海奇镜》胜诉！😠,来自福建,文刻创作居然敢抄袭，期待《山海奇镜》胜诉！😠,北京 东城区,女
24年07月04日 10:49,如果我是陈坤，我也会保护《山海奇镜》的！💪,来自广东,如果我是陈坤，我也会保护《山海奇镜》的！💪,北京 东城区,女
24年07月04日 10:49,支持原创！支持KUN DADDY,来自广东,支持原创！支持KUN DADDY,北京 东城区,女
24年07月04日 10:47,这个案例有点复杂啊,来自安徽,这个案例有点复杂啊,北京 东城区,女
24年07月04日 10:46,支持原创作者！希望这个案例能推动相关法律完善,来自辽宁,支持原创作者！希望这个案例能推动相关法律完善,北京 东城区,女
24年07月04日 10:42,怎么感觉ai创作的影视作品以后会有大争斗呢,来自辽宁,怎么感觉ai创作的影视作品以后会有大争斗呢,北京 东城区,女
24年07月04日 10:39,支持陈坤！,来自江苏,支持陈坤！,北京 东城区,女
24年07月04日 10:39,这个案子好新鲜,来自辽宁,这个案子好新鲜,北京 东城区,女
24年07月04日 10:39,这案子能推动ai领域著作权法的进步么,来自江西,这案子能推动ai领域著作权法的进步么,北京 东城区,女
24年07月04日 10:36,有没有可能达成和解呢,来自云南,有没有可能达成和解呢,北京 东城区,女
24年07月04日 10:36,看了下原视频感觉确实很像,来自贵州,看了下原视频感觉确实很像,北京 东城区,女
24年07月04日 10:34,这个案子真的很有意义,来自江西,这个案子真的很有意义,北京 东城区,女
24年07月04日 10:33,请问这个ai制作的视频是直接在网上能看的还是怎么着,来自江西,请问这个ai制作的视频是直接在网上能看的还是怎么着,北京 东城区,女
24年07月04日 10:32,这个案子挺有意思,来自天津,这个案子挺有意思,北京,女
24年07月04日 10:31,AI技术越来越厉害了，陈坤的《山海奇镜》被抄袭好可惜😔,来自江西,AI技术越来越厉害了，陈坤的《山海奇镜》被抄袭好可惜😔,北京 东城区,女
24年07月04日 10:30,这个案件会给我们这些创作者带来什么样的启示呢,来自安徽,这个案件会给我们这些创作者带来什么样的启示呢,北京 东城区,女
24年07月04日 10:30,这个案件应该会对未来ai作品的版权界定产生重要影响,来自江西,这个案件应该会对未来ai作品的版权界定产生重要影响,北京 东城区,女
24年07月04日 10:27,这案子好新鲜,来自福建,这案子好新鲜,北京 东城区,女
24年07月04日 10:27,这案子结果怎么样啦,来自天津,这案子结果怎么样啦,北京,女
24年07月04日 10:26,这案子真新鲜,来自贵州,这案子真新鲜,北京 东城区,女
24年07月04日 10:26,听说这个电影是跟ai有关的,来自云南,听说这个电影是跟ai有关的,北京 东城区,女
24年07月04日 10:25,请问这个ai创作的影片会限制观看人数么,来自云南,请问这个ai创作的影片会限制观看人数么,北京 东城区,女
24年07月04日 10:24,其他,来自贵州,其他,北京 东城区,女
24年07月04日 10:23,这个案子会对未来ai作品的版权产生影响么,来自安徽,这个案子会对未来ai作品的版权产生影响么,北京 东城区,女
24年07月04日 10:22,这案子太有意思了吧,来自辽宁,这案子太有意思了吧,北京 东城区,女
24年07月04日 10:21,想看看这个电影,来自福建,想看看这个电影,北京 东城区,女
24年07月04日 12:04,这个新闻让我想入手新手机的欲望都减弱了,来自安徽,这个新闻让我想入手新手机的欲望都减弱了,北京 东城区,女
24年07月04日 12:01,华为撤出后，vivo和OPPO都在往越南靠拢,来自河北,华为撤出后，vivo和OPPO都在往越南靠拢,北京 东城区,女
24年07月04日 12:00,这个榜单准么,来自天津,这个榜单准么,北京,女
24年07月04日 11:59,中国手机和小米一样卷出来吧,来自贵州,中国手机和小米一样卷出来吧,北京 东城区,女
24年07月04日 11:58,苹果大力扶持谁会得益更多？🍏📈,来自江西,苹果大力扶持谁会得益更多？🍏📈,北京 东城区,女
24年07月04日 11:57,"没有华为，哪来的国内手机市场<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自河北,没有华为，哪来的国内手机市场[doge],北京 东城区,女
24年07月04日 11:54,哇哦！我的手机是印度的,来自安徽,哇哦！我的手机是印度的,北京 东城区,女
24年07月04日 11:54,有没有可能我国超越它们成为最大智能手机生产国啊,来自江苏,有没有可能我国超越它们成为最大智能手机生产国啊,北京 东城区,女
24年07月04日 11:54,这个报告的数据来源是?,来自广东,这个报告的数据来源是?,北京 东城区,女
24年07月04日 11:51,苹果公司的策略是正确的，大力支持越南和印度，这样不仅可以降低生产成本，还可以扩大业务版图,来自河北,苹果公司的策略是正确的，大力支持越南和印度，这样不仅可以降低生产成本，还可以扩大业务版图,北京 东城区,女
24年07月04日 11:51,中国手机品牌在国外挺受欢迎的吧,来自江西,中国手机品牌在国外挺受欢迎的吧,北京 东城区,女
24年07月04日 11:51,越南生产的苹果手机质量怎么样啊,来自江西,越南生产的苹果手机质量怎么样啊,北京 东城区,女
24年07月04日 11:48,为什么是前五年呢,来自云南,为什么是前五年呢,北京 东城区,女
24年07月04日 11:45,这个数据包括折叠屏手机和普通智能手机的吗,来自江苏,这个数据包括折叠屏手机和普通智能手机的吗,北京 东城区,女
24年07月04日 11:43,感觉这个报告在宣传vivo,来自山东,感觉这个报告在宣传vivo,北京 东城区,女
24年07月04日 11:41,这消息对于想入手新手机的我就犹如春风拂面,来自江西,这消息对于想入手新手机的我就犹如春风拂面,北京 东城区,女
24年07月04日 11:38,感觉未来智能手机产业的竞争会在东南亚国家之间发生,来自广东,感觉未来智能手机产业的竞争会在东南亚国家之间发生,北京 东城区,女
24年07月04日 11:38,都在比拼你追我赶呢！做好自己的事吧！提升自身竞争力，会更好发展,来自福建,都在比拼你追我赶呢！做好自己的事吧！提升自身竞争力，会更好发展,北京 东城区,女
24年07月04日 11:37,现在国产手机的竞争力也很强了,来自广东,现在国产手机的竞争力也很强了,北京 东城区,女
24年07月04日 11:35,国产手机的竞争力越来越强了,来自江苏,国产手机的竞争力越来越强了,北京 东城区,女
24年07月04日 11:34,支持国货！,来自广东,支持国货！,北京 东城区,女
24年07月04日 11:34,手机出口大战，越南vs印度，谁会赢？📱🔥,来自天津,手机出口大战，越南vs印度，谁会赢？📱🔥,北京,女
24年07月04日 11:33,希望华为继续加油，在高端新领域卷的更强，给苹果一点点压力来着。当然还得配合咱们国家政策，继续限制苹果,来自江西,希望华为继续加油，在高端新领域卷的更强，给苹果一点点压力来着。当然还得配合咱们国家政策，继续限制苹果,北京 东城区,女
24年07月04日 11:32,中国手机品牌的海外市场表现也很抢眼吧,来自安徽,中国手机品牌的海外市场表现也很抢眼吧,北京 东城区,女
24年07月04日 11:27,"这新闻看起来像是我朋友在刷<img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" />",来自江苏,这新闻看起来像是我朋友在刷[笑cry],北京 东城区,女
24年07月04日 11:24,感觉中国手机品牌的出海还有很大的空间,来自福建,感觉中国手机品牌的出海还有很大的空间,北京 东城区,女
24年07月04日 11:23,想了解一下那款适合送给爸妈,来自广东,想了解一下那款适合送给爸妈,北京 东城区,女
24年07月04日 11:20,中国这么多智能手机厂商怎么就不思进取呢,来自江西,中国这么多智能手机厂商怎么就不思进取呢,北京 东城区,女
24年07月04日 11:19,想了解一下哪款手机的配件最好卖,来自云南,想了解一下哪款手机的配件最好卖,北京 东城区,女
24年07月04日 11:19,越南和印度都是我们的合作伙伴，希望他们能共同努力，为我们带来更多优质的产品和服务,来自福建,越南和印度都是我们的合作伙伴，希望他们能共同努力，为我们带来更多优质的产品和服务,北京 东城区,女
24年07月04日 11:18,希望越南和印度能够更加努力，为中国创造更多的价值,来自江西,希望越南和印度能够更加努力，为中国创造更多的价值,北京 东城区,女
24年07月04日 11:17,有没有可能把智能手机产业链转移到中国,来自辽宁,有没有可能把智能手机产业链转移到中国,北京 东城区,女
24年07月04日 11:16,"中低端机出口还得靠印度啊<img alt=""[嘻嘻]"" title=""[嘻嘻]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/33/2018new_xixi_org.png"" /><img alt=""[嘻嘻]"" title=""[嘻嘻]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/33/2018new_xixi_org.png"" />",来自天津,中低端机出口还得靠印度啊[嘻嘻][嘻嘻],北京,女
24年07月04日 11:16,感觉中国制造业要加油了,来自江西,感觉中国制造业要加油了,北京 东城区,女
24年07月04日 11:15,呵呵，除了第一是华为,来自山东,呵呵，除了第一是华为,北京 东城区,女
24年07月04日 11:13,这新闻让人想起中国的世界工厂地位,来自江苏,这新闻让人想起中国的世界工厂地位,北京 东城区,女
24年07月04日 11:13,有没有可能把中国也加进去,来自云南,有没有可能把中国也加进去,北京 东城区,女
24年07月04日 11:13,越南生产的好像不是苹果手机吧,来自辽宁,越南生产的好像不是苹果手机吧,北京 东城区,女
24年07月04日 11:12,"苹果很看重印度这块市场啊<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自广东,苹果很看重印度这块市场啊[doge],北京 东城区,女
24年07月04日 11:10,竞争越来越激烈，恭喜越南和印度成为赢家,来自贵州,竞争越来越激烈，恭喜越南和印度成为赢家,北京 东城区,女
24年07月04日 11:10,支持国产手机在华销量,来自贵州,支持国产手机在华销量,北京 东城区,女
24年07月04日 11:10,支持苹果，支持越南和印度，未来的世界一定会更加美好,来自安徽,支持苹果，支持越南和印度，未来的世界一定会更加美好,北京 东城区,女
24年07月04日 11:09,中国是全球第一大智能手机生产基地,来自江苏,中国是全球第一大智能手机生产基地,北京 东城区,女
24年07月04日 11:07,有没有可能超越中国呢,来自江西,有没有可能超越中国呢,北京 东城区,女
24年07月04日 11:06,中国手机厂商们得加油了,来自江苏,中国手机厂商们得加油了,北京 东城区,女
24年07月04日 11:12,听说越南产的iPhone质量比中国的好,来自江西,听说越南产的iPhone质量比中国的好,北京 东城区,女
24年07月04日 11:34,听说小米也要把工厂搬到越南了,来自天津,听说小米也要把工厂搬到越南了,北京,女
24年07月04日 11:16,华为在印度的生意好么,来自云南,华为在印度的生意好么,北京 东城区,女
24年07月03日 17:42,现在越看越觉得很有必要啊,来自江苏,现在越看越觉得很有必要啊,北京 东城区,女
24年07月03日 17:41,有没有可能像手机那样统一硬件和标准呢,来自安徽,有没有可能像手机那样统一硬件和标准呢,北京 东城区,女
24年07月03日 17:37,这个新闻有点超纲,来自安徽,这个新闻有点超纲,北京 东城区,女
24年07月03日 17:35,这个成立的话是不是我们以后可以用AI辅助创作了,来自江西,这个成立的话是不是我们以后可以用AI辅助创作了,北京 东城区,女
24年07月03日 17:35,哇哦~这难道是说我们可以很快体验到更先进的人工智能产品和服务了吗,来自贵州,哇哦~这难道是说我们可以很快体验到更先进的人工智能产品和服务了吗,北京 东城区,女
24年07月03日 17:26,哇！这新闻听起来就很高级,来自安徽,哇！这新闻听起来就很高级,北京 东城区,女
24年07月03日 17:23,想了解一下这个技术在医疗领域的应用场景,来自天津,想了解一下这个技术在医疗领域的应用场景,北京,女
24年07月03日 17:21,这个会对我们的AI生活产生影响么,来自福建,这个会对我们的AI生活产生影响么,北京 东城区,女
24年07月03日 17:19,这个会对我们的未来有什么影响呢,来自云南,这个会对我们的未来有什么影响呢,北京 东城区,女
24年07月03日 17:19,期待早日看到这个话题吧,来自辽宁,期待早日看到这个话题吧,北京 东城区,女
24年07月03日 17:16,脑机接口的游戏，想想非常酷炫！,来自江西,脑机接口的游戏，想想非常酷炫！,北京 东城区,女
24年07月03日 17:15,这个公告让我想起了最近在追的黑镜,来自江苏,这个公告让我想起了最近在追的黑镜,北京 东城区,女
24年07月03日 17:14,这个会对我们的未来产生很大的影响吧,来自辽宁,这个会对我们的未来产生很大的影响吧,北京 东城区,女
24年07月03日 17:11,期待值拉满,来自贵州,期待值拉满,北京,女
24年07月03日 17:10,这个对我们这种科技发烧友来说真的太棒了,来自江苏,这个对我们这种科技发烧友来说真的太棒了,北京 东城区,女
24年07月03日 17:08,这个成立的话那以后AI领域的发展就更有保障了,来自安徽,这个成立的话那以后AI领域的发展就更有保障了,北京 东城区,女
24年07月03日 17:08,支持建立AI领域的相关行业标准,来自江苏,支持建立AI领域的相关行业标准,北京 东城区,女
