评论时间,处理内容,评论者IP归属地,评论内容,用户地理位置,评论者性别,情感分析
24年07月05日 11:44,"那你还真值得期待一下了呢<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自贵州,那你还真值得期待一下了呢[允悲],北京 东城区,女,0.995914144
24年07月05日 11:40,苹果M5系列芯片的发布真是让人惊喜连连，不仅展示了苹果的创新能力，也证明了台积电的SoIC—X封装技术的实力,来自广东,苹果M5系列芯片的发布真是让人惊喜连连，不仅展示了苹果的创新能力，也证明了台积电的SoIC—X封装技术的实力,北京 东城区,女,0.999821319
24年07月05日 12:33,尊贵的M5芯片，时尚感满满！✨,来自广东,尊贵的M5芯片，时尚感满满！✨,北京 东城区,女,0.889515052
24年07月04日 18:05,人类需要AI的帮助来应对未来的挑战,来自安徽,人类需要AI的帮助来应对未来的挑战,北京 东城区,女,0.998287031
24年07月04日 17:43,人类创造AI，AI反过来影响人类,来自江西,人类创造AI，AI反过来影响人类,北京 东城区,女,0.995907399
24年07月04日 17:40,AI比人类强大，人类比AI脆弱,来自安徽,AI比人类强大，人类比AI脆弱,北京 东城区,女,0.999200549
24年07月04日 17:37,"越来越感觉ai 技术的进步了<img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" /><img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" />未来有更多的可能值得期待",来自江西,越来越感觉ai 技术的进步了[心][心]未来有更多的可能值得期待,北京 东城区,女,0.998164981
24年07月04日 17:37,AI 是不是看不懂人话？,来自山东,AI 是不是看不懂人话？,北京 东城区,女,0.240696679
24年07月04日 17:34,"你身边有买这个电脑的不？如果没有，说明他还没buy！<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自四川,你身边有买这个电脑的不？如果没有，说明他还没buy！[doge],北京 东城区,女,0.794854336
24年07月04日 17:25,超级电脑玩GPT4没毛病，人类脑机接口才是未来,来自安徽,超级电脑玩GPT4没毛病，人类脑机接口才是未来,北京 东城区,女,0.986251176
24年07月04日 17:25,GPT4是人工智能的里程碑,来自贵州,GPT4是人工智能的里程碑,北京 东城区,女,0.814070102
24年07月04日 17:11,"AI现在发展的也太厉害了吧？我都感觉有点看不懂了<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自江苏,AI现在发展的也太厉害了吧？我都感觉有点看不懂了[允悲],北京 东城区,女,0.955312319
24年07月04日 17:48,不得不说，这确实是越来越棒了,来自天津,不得不说，这确实是越来越棒了,北京,女,0.961697787
24年07月04日 18:01,"果然还是很有道理的啊 感觉这样也可以让人类更加渺小了啊 <img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" /><img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自贵州,果然还是很有道理的啊 感觉这样也可以让人类更加渺小了啊 [允悲][允悲],北京 东城区,女,0.999996014
24年07月04日 17:59,"AI现在已经在慢慢变强了 不会到时候大乱斗吧<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自江西,AI现在已经在慢慢变强了 不会到时候大乱斗吧[doge],北京 东城区,女,0.846044003
24年07月04日 17:41,AI现在越来越多了 以后会不会没有这么智能？,来自贵州,AI现在越来越多了 以后会不会没有这么智能？,北京,女,0.478382274
24年07月04日 17:29,人类真的会被AI消灭吗？🤔,来自辽宁,人类真的会被AI消灭吗？🤔,北京 东城区,女,0.897051329
24年07月04日 17:24,"以后会越来越多的AI 把你们都工作<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自辽宁,以后会越来越多的AI 把你们都工作[doge],北京 东城区,女,0.6302804
24年07月04日 17:24,"如果真的有一天AI全面侵袭了，人类该何去何从呢<img alt=""[思考]"" title=""[思考]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/30/2018new_sikao_org.png"" />",来自广东,如果真的有一天AI全面侵袭了，人类该何去何从呢[思考],北京 东城区,女,0.993519656
24年07月04日 17:15,不得不说这样的说法还是很有道理的,来自贵州,不得不说这样的说法还是很有道理的,北京,女,0.515880759
24年07月04日 17:11,AI比人类强大吗？,来自贵州,AI比人类强大吗？,北京 东城区,女,0.978994255
24年07月04日 17:09,那我们得时刻关注AI动态啊，不然危险了😱,来自云南,那我们得时刻关注AI动态啊，不然危险了😱,北京 东城区,女,0.866777015
24年07月04日 17:54,"AI现在确实越来越多了，作为学生我也感觉到了<img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" />但凡以后多注意一点这些你就会发现我们的生活也会变得很好",来自江西,AI现在确实越来越多了，作为学生我也感觉到了[笑cry]但凡以后多注意一点这些你就会发现我们的生活也会变得很好,北京 东城区,女,0.989318664
24年07月04日 16:38,有没有可能将来真的实现类似科幻电影里的智能世界呢,来自广东,有没有可能将来真的实现类似科幻电影里的智能世界呢,北京 东城区,女,0.982569936
24年07月04日 16:37,为什么我觉得这个概念很惊悚,来自贵州,为什么我觉得这个概念很惊悚,北京 东城区,女,0.979424297
24年07月04日 16:31,"从历史看科技树，从科考卷上数数<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自云南,从历史看科技树，从科考卷上数数[doge],北京 东城区,女,0.992418285
24年07月04日 16:29,是不是说明我们的智能家居梦越来越近了,来自辽宁,是不是说明我们的智能家居梦越来越近了,北京 东城区,女,0.381970215
24年07月04日 16:29,感觉未来是科技的时代,来自辽宁,感觉未来是科技的时代,北京 东城区,女,0.991729018
24年07月04日 16:27,我对智能家居很感兴趣,来自河北,我对智能家居很感兴趣,北京 东城区,女,0.612152203
24年07月04日 16:26,这说的是ai领域吧,来自云南,这说的是ai领域吧,北京 东城区,女,0.958949562
24年07月04日 16:25,这个想法好酷啊,来自山东,这个想法好酷啊,北京 东城区,女,0.945358469
24年07月04日 16:24,感觉未来科技发展会进入快车道,来自浙江,感觉未来科技发展会进入快车道,其他,女,0.992910198
24年07月04日 16:22,我觉得这代表着我们对未来的期许,来自辽宁,我觉得这代表着我们对未来的期许,北京 东城区,女,0.962388883
24年07月04日 16:22,这对话听起来像是未来科技电影剧本吧,来自安徽,这对话听起来像是未来科技电影剧本吧,北京 东城区,女,0.997512618
24年07月04日 16:19,"比尔盖茨又开始蹭热度了<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自天津,比尔盖茨又开始蹭热度了[允悲],北京,女,0.992446838
24年07月04日 16:19,有没有可能把ai技术用到教育领域,来自云南,有没有可能把ai技术用到教育领域,北京 东城区,女,0.981099028
24年07月04日 16:19,感觉未来人工智能会在很多领域都有所突破,来自江苏,感觉未来人工智能会在很多领域都有所突破,北京 东城区,女,0.999886633
24年07月04日 16:18,我同意他的观点,来自广东,我同意他的观点,北京 东城区,女,0.413211607
24年07月04日 16:16,我的日常就是看着我家的智能音箱放音乐,来自山东,我的日常就是看着我家的智能音箱放音乐,北京 东城区,女,0.865411676
24年07月04日 16:14,我最近也在关注ai方面的新闻,来自江西,我最近也在关注ai方面的新闻,北京 东城区,女,0.927762327
24年07月04日 16:14,这个节目的名字起得挺有意思,来自山东,这个节目的名字起得挺有意思,北京 东城区,女,0.872912669
24年07月04日 16:13,AI和直播双重发力，我们坐等吧,来自福建,AI和直播双重发力，我们坐等吧,北京 东城区,女,0.496338777
24年07月04日 16:13,最近确实很多人聊ai,来自云南,最近确实很多人聊ai,北京 东城区,女,0.745020186
24年07月04日 16:13,AI时代，时尚行业将会发生怎样的变革呢？,来自山东,AI时代，时尚行业将会发生怎样的变革呢？,北京 东城区,女,0.998562968
24年07月04日 16:10,我的感受完全相反,来自山东,我的感受完全相反,北京 东城区,女,0.71761658
24年07月04日 16:10,"支持比尔盖茨的观点<img alt=""[鼓掌]"" title=""[鼓掌]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_guzhang_org.png"" />",来自江苏,支持比尔盖茨的观点[鼓掌],北京 东城区,女,0.947650554
24年07月04日 16:09,这个概念听起来有点科幻啊,来自广东,这个概念听起来有点科幻啊,北京 东城区,女,0.88546503
24年07月04日 16:08,越来越多人关注了呢,来自福建,越来越多人关注了呢,北京 东城区,女,0.869281464
24年07月04日 16:08,AI现在越来越多了,来自江西,AI现在越来越多了,北京 东城区,女,0.562960198
24年07月04日 16:06,感觉未来是ai的时代了,来自天津,感觉未来是ai的时代了,北京,女,0.97400585
24年07月04日 16:04,智能语音助手太实用了,来自江西,智能语音助手太实用了,北京 东城区,女,0.886044769
24年07月04日 16:04,这个想法听起来很有未来感,来自天津,这个想法听起来很有未来感,北京,女,0.993809172
24年07月04日 16:01,有没有可能把ai技术应用到教育上呢,来自广东,有没有可能把ai技术应用到教育上呢,北京 东城区,女,0.545479713
24年07月04日 16:01,觉得有点可怕,来自辽宁,觉得有点可怕,北京 东城区,女,0.322292836
24年07月04日 16:00,这个想法好超前啊,来自天津,这个想法好超前啊,北京,女,0.948814781
24年07月04日 16:00,"确实如此 从不落后<img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" />",来自贵州,确实如此 从不落后[打call],北京 东城区,女,0.278578678
24年07月04日 15:58,我觉得科技发展应该鼓励而不是警惕,来自安徽,我觉得科技发展应该鼓励而不是警惕,北京 东城区,女,0.991674782
24年07月04日 15:57,有没有可能以后每个人都可以拥有一个ai助手呢,来自辽宁,有没有可能以后每个人都可以拥有一个ai助手呢,北京 东城区,女,0.909887241
24年07月04日 15:53,感觉以后世界都是ai的了,来自山东,感觉以后世界都是ai的了,北京 东城区,女,0.917482446
24年07月04日 15:53,哇哦 我也听了这个podcast,来自贵州,哇哦 我也听了这个podcast,北京 东城区,女,0.564447247
24年07月04日 15:51,大家都不要被他给忽悠了 误导了,来自贵州,大家都不要被他给忽悠了 误导了,北京 东城区,女,0.010216295
24年07月04日 15:51,作为程序员来说真的好希望ai能取代那些重复性的工作,来自贵州,作为程序员来说真的好希望ai能取代那些重复性的工作,北京 东城区,女,0.824637964
24年07月04日 15:49,把ai用在教育上就好了,来自山东,把ai用在教育上就好了,北京 东城区,女,0.846873386
24年07月04日 15:49,比尔盖茨对AI这么看重，我们也要多多了解啊！😊,来自贵州,比尔盖茨对AI这么看重，我们也要多多了解啊！😊,北京 东城区,女,0.591529232
24年07月04日 15:48,好奇如果有了超越人类的ai那人类还能做什么,来自贵州,好奇如果有了超越人类的ai那人类还能做什么,北京 东城区,女,0.99982524
24年07月04日 15:46,感觉未来都是ai的时代了,来自广东,感觉未来都是ai的时代了,北京 东城区,女,0.97643356
24年07月04日 15:44,这个想法很有前瞻性,来自贵州,这个想法很有前瞻性,北京 东城区,女,0.869805971
24年07月04日 15:42,好奇这个节目的具体内容,来自山东,好奇这个节目的具体内容,北京 东城区,女,0.585192279
24年07月04日 16:15,这都超越风口了么,来自广东,这都超越风口了么,北京 东城区,女,0.393471073
24年07月04日 15:51,太牛啦! 这下我的工作应该轻松一点了吧,来自浙江,太牛啦! 这下我的工作应该轻松一点了吧,北京,女,0.685026356
24年07月04日 15:10,支持把传统行业改造得更智能化！,来自山东,支持把传统行业改造得更智能化！,北京 东城区,女,0.952871021
24年07月04日 15:10,"好好好！还得是黑石<img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" /><img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" />",来自辽宁,好好好！还得是黑石[打call][打call],北京 东城区,女,0.560766533
24年07月04日 15:10,感觉未来所有行业都会受到ai的影响,来自云南,感觉未来所有行业都会受到ai的影响,北京 东城区,女,0.955428007
24年07月04日 15:09,哇！这新闻也太超前了吧,来自安徽,哇！这新闻也太超前了吧,北京 东城区,女,0.82372147
24年07月04日 15:08,AI或让有些投资血本无归，这句话令人深思,来自安徽,AI或让有些投资血本无归，这句话令人深思,北京 东城区,女,0.992562602
24年07月04日 15:07,是不是意味着未来会有更多的ai技术在游戏中应用,来自江苏,是不是意味着未来会有更多的ai技术在游戏中应用,北京 东城区,女,0.987454632
24年07月04日 15:05,这话题太硬核,来自江西,这话题太硬核,北京 东城区,女,0.509455562
24年07月04日 15:04,有没有可能因为ai的影响导致某些行业的岗位减少呢,来自广东,有没有可能因为ai的影响导致某些行业的岗位减少呢,北京 东城区,女,0.392196476
24年07月04日 15:03,这个视频好像被卡住了,来自贵州,这个视频好像被卡住了,北京 东城区,女,0.680102985
24年07月04日 15:02,支持进步抵制赌博,来自天津,支持进步抵制赌博,北京,女,0.951446231
24年07月04日 15:00,哇！这言论……感觉我在听未来,来自安徽,哇！这言论……感觉我在听未来,北京 东城区,女,0.969601727
24年07月04日 15:00,感觉未来的企业竞争就是ai技术的博弈,来自安徽,感觉未来的企业竞争就是ai技术的博弈,北京 东城区,女,0.9563488
24年07月04日 14:59,支持这个观点！科技的发展总是伴随着不确定性,来自云南,支持这个观点！科技的发展总是伴随着不确定性,北京 东城区,女,0.988707893
24年07月04日 14:59,这比喻有点吓人,来自云南,这比喻有点吓人,北京 东城区,女,0.463173669
24年07月04日 14:58,AI技术的发展太快了，令人跟不上脚步,来自安徽,AI技术的发展太快了，令人跟不上脚步,北京 东城区,女,0.980030663
24年07月04日 14:57,感觉未来的投资和风险管控会更加复杂,来自山东,感觉未来的投资和风险管控会更加复杂,北京 东城区,女,0.993117751
24年07月04日 14:54,这说法有点太悲观了吧,来自天津,这说法有点太悲观了吧,北京,女,0.301168575
24年07月04日 14:53,最近总是在看关于ai的东西,来自安徽,最近总是在看关于ai的东西,北京 东城区,女,0.564146252
24年07月04日 14:49,AI的崛起正在改变我们的生活,来自广东,AI的崛起正在改变我们的生活,北京 东城区,女,0.974819335
24年07月04日 14:47,这太专业了为我们解答了孩子心中疑惑,来自江苏,这太专业了为我们解答了孩子心中疑惑,北京 东城区,女,0.959016425
24年07月04日 14:45,感觉未来是ai的时代,来自广东,感觉未来是ai的时代,北京 东城区,女,0.97400585
24年07月04日 14:45,AI现在越来越多的应用范围了 我也要安排起来,来自天津,AI现在越来越多的应用范围了 我也要安排起来,北京,女,0.5537602
24年07月04日 14:44,听说这个论坛有很多专家分享,来自江西,听说这个论坛有很多专家分享,北京 东城区,女,0.971161398
24年07月04日 14:44,想了解一下这个峰会都讲了哪些关于ai的应用,来自安徽,想了解一下这个峰会都讲了哪些关于ai的应用,北京 东城区,女,0.635378492
24年07月04日 14:44,最近身边好多朋友都在聊ai这个话题,来自广东,最近身边好多朋友都在聊ai这个话题,北京 东城区,女,0.881106601
24年07月04日 14:40,我有点担心ai会影响我的工作,来自江西,我有点担心ai会影响我的工作,北京 东城区,女,0.468899805
24年07月04日 14:38,哇！这消息太震撼,来自江苏,哇！这消息太震撼,北京 东城区,女,0.451940355
24年07月04日 14:37,我觉得未来所有的行业都会受到ai的影响,来自云南,我觉得未来所有的行业都会受到ai的影响,北京 东城区,女,0.951489107
24年07月04日 14:35,"这话题可以！<img alt=""[并不简单]"" title=""[并不简单]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/aa/2018new_bingbujiandan_org.png"" />",来自江西,这话题可以！[并不简单],北京 东城区,女,0.482741893
24年07月04日 14:35,担心AI会取代人类的工作，特别是那些需要精湛技艺的岗位,来自辽宁,担心AI会取代人类的工作，特别是那些需要精湛技艺的岗位,北京 东城区,女,0.99607809
24年07月04日 14:34,有没有可能把ai用在电竞领域,来自贵州,有没有可能把ai用在电竞领域,北京 东城区,女,0.784800556
24年07月04日 14:34,这个博主的风格有点不适应,来自安徽,这个博主的风格有点不适应,北京 东城区,女,0.490378026
24年07月04日 14:33,感觉自己的钱包要保不住了,来自江苏,感觉自己的钱包要保不住了,北京 东城区,女,0.121379134
24年07月04日 14:32,听起来好高端,来自安徽,听起来好高端,北京 东城区,女,0.564447247
24年07月04日 14:32,这个话放在国内挺应景,来自江苏,这个话放在国内挺应景,北京 东城区,女,0.843931313
24年07月04日 14:32,这个发言有点太危言耸听了,来自江苏,这个发言有点太危言耸听了,北京 东城区,女,0.124037384
24年07月04日 14:24,看来对于AI的期待值拉满了啊！这可不得仔细研究一下吗？,来自安徽,看来对于AI的期待值拉满了啊！这可不得仔细研究一下吗？,北京 东城区,女,0.895019519
24年07月04日 14:22,感觉AI未来会成为各个领域的基础设施,来自贵州,感觉AI未来会成为各个领域的基础设施,北京 东城区,女,0.998837893
24年07月04日 14:22,哇！我和亿万富翁的思想共鸣,来自四川,哇！我和亿万富翁的思想共鸣,北京 东城区,女,0.948580567
24年07月04日 14:21,为什么是2024啊,来自安徽,为什么是2024啊,北京 东城区,女,0.5
24年07月04日 14:20,支持把ai用在合适的地方,来自广东,支持把ai用在合适的地方,北京 东城区,女,0.782120593
24年07月04日 14:17,支持把这种高级会的信息分享一下,来自贵州,支持把这种高级会的信息分享一下,北京 东城区,女,0.776697163
24年07月04日 14:16,感觉未来的竞争会在ai领域,来自广东,感觉未来的竞争会在ai领域,北京 东城区,女,0.997500417
24年07月04日 14:15,这话说得太准了,来自江西,这话说得太准了,北京 东城区,女,0.341722964
24年07月04日 14:13,乔舒亚·雷默的观点也很有意思，值得深思,来自河北,乔舒亚·雷默的观点也很有意思，值得深思,北京 东城区,女,0.999927018
24年07月04日 15:13,这新闻好适合当知识点,来自贵州,这新闻好适合当知识点,北京,女,0.975152281
24年07月04日 15:13,哇！这消息也太及时了吧,来自福建,哇！这消息也太及时了吧,北京 东城区,女,0.181699952
24年07月04日 15:12,如此下去，我只会更加坚定地抵制这家公司的，请问这样的公司如何才能避免倒闭？,来自安徽,如此下去，我只会更加坚定地抵制这家公司的，请问这样的公司如何才能避免倒闭？,北京 东城区,女,0.080415142
24年07月04日 15:11,我的职场救星来了,来自贵州,我的职场救星来了,北京 东城区,女,0.542939768
24年07月04日 15:11,这个法律诉讼会不会影响我们的Xbox Series X的游戏发售呢,来自广东,这个法律诉讼会不会影响我们的Xbox Series X的游戏发售呢,北京 东城区,女,0.98569436
24年07月04日 15:11,这新闻有点远不大清楚具体情况,来自云南,这新闻有点远不大清楚具体情况,北京 东城区,女,0.505175046
24年07月04日 15:07,这么严重的问题还敢继续用，看来是真的不怕被告上法院啊,来自云南,这么严重的问题还敢继续用，看来是真的不怕被告上法院啊,北京 东城区,女,0.03251852
24年07月04日 15:05,哇！这消息跟我有啥关系,来自云南,哇！这消息跟我有啥关系,北京 东城区,女,0.369864435
24年07月04日 15:04,感觉这个赔偿金好少,来自山东,感觉这个赔偿金好少,北京 东城区,女,0.593014131
24年07月04日 15:00,感觉这个新闻更适合发在财经板块,来自辽宁,感觉这个新闻更适合发在财经板块,北京 东城区,女,0.860710872
24年07月04日 14:59,哇！我宝宝生病的时候恨不得能休个几年,来自广东,哇！我宝宝生病的时候恨不得能休个几年,北京 东城区,女,0.927583829
24年07月04日 14:56,请问这个裁决是针对全球员工的还是仅仅限制于北美地区,来自辽宁,请问这个裁决是针对全球员工的还是仅仅限制于北美地区,北京 东城区,女,0.21198354
24年07月04日 14:56,这新闻好适合做算术题,来自江苏,这新闻好适合做算术题,北京 东城区,女,0.99562054
24年07月04日 14:53,我们公司可没这么大方,来自安徽,我们公司可没这么大方,北京,女,0.179456182
24年07月04日 14:53,这个解雇制度真的不合理,来自辽宁,这个解雇制度真的不合理,北京 东城区,女,0.805971004
24年07月04日 14:53,这个新闻怎么传播这么广的呢,来自山东,这个新闻怎么传播这么广的呢,北京 东城区,女,0.985784583
24年07月04日 14:53,太垃圾了！微软怎么这样对待请假的员工呢,来自贵州,太垃圾了！微软怎么这样对待请假的员工呢,北京,女,0.071505326
24年07月04日 14:52,这算是企业社会责任的一部分吧,来自云南,这算是企业社会责任的一部分吧,北京 东城区,女,0.798775739
24年07月04日 14:52,这个新闻让我想起了之前的苹果保姆门事件,来自辽宁,这个新闻让我想起了之前的苹果保姆门事件,北京 东城区,女,0.946718053
24年07月04日 14:51,这个处理结果让我觉得还算公正,来自云南,这个处理结果让我觉得还算公正,北京 东城区,女,0.665357132
24年07月04日 14:51,哇塞 微软真大方,来自江西,哇塞 微软真大方,北京 东城区,女,0.988991508
24年07月04日 14:50,微软还是多用人工智能处理员工福利吧，心累。🧠💔,来自辽宁,微软还是多用人工智能处理员工福利吧，心累。🧠💔,北京 东城区,女,0.908059261
24年07月04日 14:46,工作第一还是家重要,来自广东,工作第一还是家重要,北京 东城区,女,0.575225143
24年07月04日 14:43,这个数额有点惊人了，拒绝接受还能怎么判？,来自广东,这个数额有点惊人了，拒绝接受还能怎么判？,北京 东城区,女,0.02590097
24年07月04日 14:42,哇！这消息好大气,来自云南,哇！这消息好大气,北京 东城区,女,0.466278745
24年07月04日 14:42,请问这个赔偿是针对全球还是仅仅对美国呢,来自云南,请问这个赔偿是针对全球还是仅仅对美国呢,北京 东城区,女,0.019265138
24年07月04日 14:40,工作太忙了好想享受一下照顾家人的时光,来自安徽,工作太忙了好想享受一下照顾家人的时光,北京 东城区,女,0.99591688
24年07月04日 14:37,这个百万美金是用来补偿受害者的还是罚款,来自云南,这个百万美金是用来补偿受害者的还是罚款,北京 东城区,女,0.923741778
24年07月04日 14:36,请问这个罚款是因为之前的黑鹰山庄事件么,来自河北,请问这个罚款是因为之前的黑鹰山庄事件么,北京 东城区,女,0.108792341
24年07月04日 14:35,工作一年了还是不能完全适应职场残酷竞争的氛围,来自贵州,工作一年了还是不能完全适应职场残酷竞争的氛围,北京,女,0.895203987
24年07月04日 14:35,感觉这个新闻和我最近玩的gamehigh game有点关系,来自天津,感觉这个新闻和我最近玩的gamehigh game有点关系,北京,女,0.880894477
24年07月04日 14:35,你们公司有育儿产假之类的么,来自广东,你们公司有育儿产假之类的么,北京 东城区,女,0.527517733
24年07月04日 14:34,这消息对于想要休假的员工来说真是太好了！,来自安徽,这消息对于想要休假的员工来说真是太好了！,北京 东城区,女,0.786739159
24年07月04日 14:32,请问这个罚款是交给我们这些受影响的员工的,来自辽宁,请问这个罚款是交给我们这些受影响的员工的,北京 东城区,女,0.04759406
24年07月04日 14:31,哇！微软这操作看起来好良心,来自山东,哇！微软这操作看起来好良心,北京 东城区,女,0.774859633
24年07月04日 14:31,这个新闻有点出乎我的意料,来自辽宁,这个新闻有点出乎我的意料,北京 东城区,女,0.805430108
24年07月04日 14:30,"这是在歧视中国么<img alt=""[挖鼻]"" title=""[挖鼻]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/9a/2018new_wabi_thumb.png"" />",来自贵州,这是在歧视中国么[挖鼻],北京,女,0.420918575
24年07月04日 14:29,有哪路英雄好汉知道详细情况的,来自江西,有哪路英雄好汉知道详细情况的,北京 东城区,女,0.572248325
24年07月04日 14:28,感觉这个新闻有点超出我的知识范畴了,来自辽宁,感觉这个新闻有点超出我的知识范畴了,北京 东城区,女,0.937087301
24年07月04日 14:25,为什么这种大公司还会做这么不公平的事,来自江西,为什么这种大公司还会做这么不公平的事,北京 东城区,女,0.120599086
24年07月04日 14:23,"这也太他妈离谱了吧！这不得好几亿啊<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自辽宁,这也太他妈离谱了吧！这不得好几亿啊[允悲],北京 东城区,女,0.661647223
24年07月04日 14:23,为什么我要在游戏圈里看到这条新闻,来自江苏,为什么我要在游戏圈里看到这条新闻,北京 东城区,女,0.833148102
24年07月04日 14:22,"如果拒绝，请病假不发钱<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自贵州,如果拒绝，请病假不发钱[doge],北京 东城区,女,0.009243904
24年07月04日 14:21,想知道这个调解案里包括那些具体的条款,来自江西,想知道这个调解案里包括那些具体的条款,北京 东城区,女,0.751602736
24年07月04日 14:19,为什么不去掉这个不公平的规定呢,来自四川,为什么不去掉这个不公平的规定呢,北京,女,0.023616056
24年07月04日 14:18,我们是不是也该出手了？,来自安徽,我们是不是也该出手了？,北京 东城区,女,0.513319271
24年07月04日 14:17,感觉这会让很多职场妈妈受益,来自贵州,感觉这会让很多职场妈妈受益,北京 东城区,女,0.982781294
24年07月04日 14:34,这个新闻太及时了,来自广东,这个新闻太及时了,北京 东城区,女,0.633713797
24年07月04日 11:39,这么先进的AI技术，居然现在才想起来更新？,来自江苏,这么先进的AI技术，居然现在才想起来更新？,北京 东城区,女,0.192323682
24年07月04日 11:39,ChatGPT在MacOS上如果表现良好，那它确实是一款值得关注的AI产品！,来自江西,ChatGPT在MacOS上如果表现良好，那它确实是一款值得关注的AI产品！,北京 东城区,女,0.98277918
24年07月04日 11:31,更新后的ChatGPT有什么新功能吗？,来自江西,更新后的ChatGPT有什么新功能吗？,北京 东城区,女,0.585140043
24年07月04日 11:25,最近OpenAI因为ChatGPT引发了不小的热度,来自广东,最近OpenAI因为ChatGPT引发了不小的热度,北京 东城区,女,0.744618065
24年07月04日 11:21,纯文本存储AI对话？这可真是引人深思了,来自贵州,纯文本存储AI对话？这可真是引人深思了,北京 东城区,女,0.895856063
24年07月04日 11:19,看来ChatGPT已经成为时尚新宠。🕶,来自广东,看来ChatGPT已经成为时尚新宠。🕶,北京 东城区,女,0.992824888
24年07月04日 11:16,纯文本存储，信息安全堪忧。希望OpenAI尽快改善！🤖,来自江西,纯文本存储，信息安全堪忧。希望OpenAI尽快改善！🤖,北京 东城区,女,0.24291575
24年07月04日 11:12,果然是程序员的天赋，MacOS版ChatGPT未来可期！,来自广东,果然是程序员的天赋，MacOS版ChatGPT未来可期！,北京 东城区,女,0.955138843
24年07月04日 11:10,哇！OpenAI终于回应了，期待ChatGPT在MacOS上更好的表现！,来自云南,哇！OpenAI终于回应了，期待ChatGPT在MacOS上更好的表现！,北京 东城区,女,0.961569541
24年07月04日 11:08,听说OpenAI更新了MacOS版的ChatGPT，真是个好消息！,来自河北,听说OpenAI更新了MacOS版的ChatGPT，真是个好消息！,北京 东城区,女,0.265805022
24年07月04日 11:07,人工智能时代还需要解决很多问题，共同努力吧！💪,来自云南,人工智能时代还需要解决很多问题，共同努力吧！💪,北京 东城区,女,0.878417303
24年07月04日 11:06,更新后要赶快试试新版ChatGPT，期待更智能！😎,来自江西,更新后要赶快试试新版ChatGPT，期待更智能！😎,北京 东城区,女,0.838252635
24年07月04日 10:57,用ChatGPT玩游戏也太带劲了吧！🎮期待新版本！,来自江西,用ChatGPT玩游戏也太带劲了吧！🎮期待新版本！,北京 东城区,女,0.976030944
24年07月04日 10:57,我觉得ChatGPT在MacOS上肯定会取得更好的成绩,来自辽宁,我觉得ChatGPT在MacOS上肯定会取得更好的成绩,北京 东城区,女,0.840348461
24年07月04日 10:57,这个游戏化的ChatGPT真的好有趣啊！,来自天津,这个游戏化的ChatGPT真的好有趣啊！,北京,女,0.964355218
